ticker,method,bs_avg_smape
MTCH,"Hybrid: Traditional for BS, Average for IS",100.0
MU,"Hybrid: Traditional for BS, Average for IS",14.371842759058136
NSC,"Hybrid: Traditional for BS, Average for IS",2.4208296707301167
PANW,"Hybrid: Traditional for BS, Average for IS",10.271107871983144
PEG,"Hybrid: Traditional for BS, Average for IS",2.20294943890862
PEP,"Hybrid: Traditional for BS, Average for IS",0.3689808807445907
PG,"Hybrid: Traditional for BS, Average for IS",1.2278892029347976
PGR,"Hybrid: Traditional for BS, Average for IS",100.0
PM,"Hybrid: Traditional for BS, Average for IS",6.028493850319006
PNC,"Hybrid: Traditional for BS, Average for IS",100.0
PSX,"Hybrid: Traditional for BS, Average for IS",6.994207341430777
REGN,"Hybrid: Traditional for BS, Average for IS",100.0
RVTY,"Hybrid: Traditional for BS, Average for IS",6.096824998313008
SMCI,"Hybrid: Traditional for BS, Average for IS",25.922155462105547
SW,"Hybrid: Traditional for BS, Average for IS",45.504946434084154
SYF,"Hybrid: Traditional for BS, Average for IS",100.0
TPR,"Hybrid: Traditional for BS, Average for IS",22.76391094782272
TRV,"Hybrid: Traditional for BS, Average for IS",100.0
TTWO,"Hybrid: Traditional for BS, Average for IS",23.40618747842045
UNH,"Hybrid: Traditional for BS, Average for IS",5.485541661832484
V,"Hybrid: Traditional for BS, Average for IS",100.0
VLTO,"Hybrid: Traditional for BS, Average for IS",6.3306697517890544
AAPL,"Hybrid: Gemini for IS, Traditional for BS",38.03863221187225
ALB,"Hybrid: Gemini for IS, Traditional for BS",6.088195479997
AMP,"Hybrid: Gemini for IS, Traditional for BS",100.0
AMTM,"Hybrid: Gemini for IS, Traditional for BS",100.0
AMZN,"Hybrid: Gemini for IS, Traditional for BS",100.0
AVGO,"Hybrid: Gemini for IS, Traditional for BS",41.04048235433272
BK,"Hybrid: Gemini for IS, Traditional for BS",10.969545029220882
BRO,"Hybrid: Gemini for IS, Traditional for BS",3.2688758011555596
BXP,"Hybrid: Gemini for IS, Traditional for BS",100.0
CAH,"Hybrid: Gemini for IS, Traditional for BS",13.207590991534582
CBOE,"Hybrid: Gemini for IS, Traditional for BS",3.5999434096936405
CNC,"Hybrid: Gemini for IS, Traditional for BS",0.39878419980436913
DOV,"Hybrid: Gemini for IS, Traditional for BS",12.383524215850931
DOW,"Hybrid: Gemini for IS, Traditional for BS",2.288981224780946
DTE,"Hybrid: Gemini for IS, Traditional for BS",4.359408087844708
